phi_deg;plano_z;Line_A_y;Line_B_z;Line_C;YB;ZB;KN;SZ;S;Volumen_Calculado;Volumen_Error_%;GZ_5.0;GZ_lin_5.0;Error_Lin_5.0_%;GZ_5.15;GZ_lin_5.15;Error_Lin_5.15_%;GZ_5.3;GZ_lin_5.3;Error_Lin_5.3_%
20,0;4,242159590162663;0,3420201433256687;0,9396926207859084;-4,242159590162663;-1,6834911822196525;3,179594126658961;2,6694494800073048;0,6173286200532924;1078,2109822145421;2281,7440000000006;1,992981468939829e-14;0,959348763378961;1,003891971191565;4,643067204852236;0,9080457418801107;0,9515320936317351;4,7890045342413945;0,8567427203812605;0,8991722160719055;4,952419749976199
20,5;4,21916771187649;0,35020738125946743;0,9366721892483976;-4,21916771187649;-1,722955388588753;3,1941532138812905;2,7324604281816294;0,6312161406248249;1078,1380315007846;2281,7439999999997;1,992981468939829e-14;0,9814235218842924;1,0289892704713544;4,846607761727344;0,9288924146953721;0,9753203959725285;4,998208677630591;0,8763613075064521;0,9216515214737031;5,167984206892603
21,0;4,195607317856647;0,35836794954530027;0,9335804264972017;-4,195607317856647;-1,7622599368140843;3,209044351287537;2,7952300275806676;0,645022330308866;1078,0937835437855;2281,7439999999997;1,992981468939829e-14;1,0033902798541663;1,0540865697511435;5,052499602083589;0,9496350874223711;0,9991086983133219;5,209749676082296;0,8958798949905763;0,9441308268755008;5,385870601039888
21,5;4,171478073226822;0,3665012267242973;0,9304175679820246;-4,171478073226822;-1,8014079728500398;3,224268171947286;2,857759865349351;0,6587525050035672;1078,0777312775076;2281,7439999999997;1,992981468939829e-14;1,0252537317278645;1,0791838690309326;5,260174689847689;0,9702785477192197;1,0228970006541154;5,423025486710279;0,9153033637105754;0,9666101322772984;5,60543865574021
22,0;4,146778791773477;0,374606593415912;0,9271838545667874;-4,146778791773477;-1,8404000574946435;3,239824415425779;2,9200488067811703;0,6724092462856981;1078,074912016668;2281,744;0,0;1,04701583970161;1,1042811683107217;5,469385126535592;0,9908248506892232;1,0466853029949086;5,6377726362866785;0,9346338616768366;0,989089437679096;5,826407348922714
22,5;4,121506229289116;0,3826834323650898;0,9238795325112867;-4,121506229289116;-1,8792305439930475;3,2557103675855186;2,982089054719462;0,6859884605289235;1078,0943074714917;2281,744;0,0;1,0686718928940133;1,1293784675905107;5,680562490709959;1,0112693780392497;1,070473605335702;5,8544467559418685;0,9538668631844864;1,0115687430808935;6,049259296393758
23,0;4,0956672203572895;0,39073112848927377;0,9205048534524404;-4,0956672203572895;-1,917887150551593;3,2719203860337096;3,0438655752188244;0,6994788042831819;1078,2427320125098;2281,744;0,0;1,0902099327724557;1,1544757668702998;5,894812748074408;1,0316002634990644;1,0942619076764954;6,074217542838759;0,9729905942256736;1,0340480484826913;6,275235816190855
23,5;4,069271358321714;0,3987490689252462;0,917060074385124;-4,069271358321714;-1,9563532329946507;3,2884466780378614;3,1053584924515683;0,7128640789000911;1078,407524086449;2281,744;0,0;1,1116131478253373;1,1795730661500892;6,11363030904256;1,0518007874865503;1,1180502100172889;6,298666374746917;0,9919884271477635;1,056527353884489;6,506016095600281
24,0;4,042320428757236;0,4067366430758002;0,9135454576426009;-4,042320428757236;-1,9946251060810767;3,305286663638668;3,166561907331862;0,7261420488770605;1078,5745909080092;2281,744;0,0;1,1328786919528606;1,2046703654298783;6,33710157909872;1,0718681954914904;1,1418385123580823;6,527884413485001;1,0108576990301206;1,0790066592862866;6,741696711767872
24,5;4,014816052424558;0,414693242656239;0,9099612708765432;-4,014816052424558;-2,032702359368584;3,322439176917199;3,2274734980487034;0,7393140421112694;1078,7511595276742;2281,7439999999997;1,992981468939829e-14;1,1540072847675085;1,2297676647096674;6,564982816154573;1,0918032983690724;1,1656268146988755;6,761613235651525;1,0295993119706368;1,1014859646880841;6,98200279289789
